0,1,2,3,4,5,6
0,2.0,2.1,2.3,2.4,4.2,4.3
1,2.7,2.8,3.1,3.2,5.5,5.6
2,3.4,3.5,3.8,3.9,6.6,6.7
3,4.0,4.1,4.4,4.5,7.5,7.6
4,4.4,4.5,4.9,5.0,8.2,8.3
5,4.8,4.9,5.3,5.4,8.8,8.9
6,5.1,5.2,5.6,5.7,9.3,9.4
7,5.3,5.4,5.9,6.0,9.8,9.9
8,5.6,5.7,6.2,6.3,10.2,10.3
9,5.8,5.9,6.4,6.5,10.5,10.6
10,5.9,6.0,6.6,6.7,10.9,11.0
11,6.1,6.2,6.8,6.9,11.2,11.3
12,6.3,6.4,6.9,7.0,11.5,11.6
13,6.4,6.5,7.1,7.2,11.8,11.9
14,6.6,6.7,7.3,7.4,12.1,12.2
15,6.7,6.8,7.5,7.6,12.4,12.5
16,6.9,7.0,7.6,7.7,12.6,12.7
17,7.0,7.1,7.8,7.9,12.9,13.0
18,7.2,7.3,8.0,8.1,13.2,13.3
19,7.3,7.4,8.1,8.2,13.5,13.6
20,7.5,7.6,8.3,8.4,13.7,13.8
21,7.6,7.7,8.5,8.6,14.0,14.1
22,7.8,7.9,8.6,8.7,14.3,14.4
23,7.9,8.0,8.8,8.9,14.6,14.7
24,8.1,8.2,8.9,9.0,14.8,14.9
